Date,Price,Open,High,Low,Change %,et_Import,et_Export,Eth_Imp_Exp_Blnc,GDB,Debt,PST
"Apr 15, 2021",41.6969,41.6838,41.6969,41.3550,0.20%,39,32,-7,92,58.7,1.33
"Apr 14, 2021",41.6150,41.6676,41.6838,41.3500,0.08%,39,32,-7,92,58.7,1.33
"Apr 13, 2021",41.5825,41.6541,41.6905,41.3500,0.06%,39,32,-7,92,58.7,1.33
"Apr 12, 2021",41.5555,41.6377,41.6888,41.3250,0.08%,39,32,-7,92,58.7,1.33
"Apr 09, 2021",41.5227,41.6245,41.6674,41.5962,0.68%,39,32,-7,92,58.7,1.33
"Apr 08, 2021",41.2409,41.6077,41.6329,41.4968,-0.53%,39,32,-7,92,58.7,1.33
"Apr 07, 2021",41.4626,41.5946,41.6119,41.5662,0.06%,39,32,-7,92,58.7,1.33
"Apr 06, 2021",41.4365,41.5778,41.5988,41.5532,0.08%,39,32,-7,92,58.7,1.33
"Apr 05, 2021",41.4029,41.5646,41.5820,41.5232,0.06%,39,32,-7,92,58.7,1.33
"Apr 02, 2021",41.3765,41.5472,41.5688,41.3969,0.08%,39,32,-7,92,58.7,1.33
"Apr 01, 2021",41.3417,41.5346,41.5518,41.4933,0.06%,39,32,-7,92,58.7,1.33
"Mar 31, 2021",41.3165,41.5010,41.5388,41.4933,0.16%,39,32,-7,92,58.7,1.33
"Mar 30, 2021",41.2493,41.4715,41.5052,41.4598,0.14%,39,32,-7,92,58.7,1.33
"Mar 29, 2021",41.1904,41.4380,41.4757,41.4304,-0.60%,39,32,-7,92,58.7,1.33
"Mar 26, 2021",41.4380,41.4085,41.4464,41.3804,0.30%,39,32,-7,92,58.7,1.33
"Mar 25, 2021",41.3132,41.3760,41.3844,41.3048,-0.15%,39,32,-7,92,58.7,1.33
"Mar 24, 2021",41.3760,41.3468,41.3802,41.3350,0.07%,39,32,-7,92,58.7,1.33
"Mar 23, 2021",41.3468,41.3143,41.3510,41.3059,0.08%,39,32,-7,92,58.7,1.33
"Mar 22, 2021",41.3143,41.2855,41.3185,41.2734,0.07%,39,32,-7,92,58.7,1.33
"Mar 19, 2021",41.2855,41.2527,41.2897,40.6185,0.08%,39,32,-7,92,58.7,1.33
